id,name
1,Accounting
2,Administrative
3,Administrative Support
4,Aerospace
5,Animal Care
6,Architecture
7,Artificial Intelligence
8,Automotive
9,Aviation
10,Blockchain
11,Business Development
12,Business Operations
13,Cloud Computing
14,Community Management
15,Construction
16,Consulting
17,Customer Service
18,Cyber Security
19,Data and Analytics
20,Design
21,Education
22,Energy
23,Engineering
24,Entertainment
25,Environmental
26,Facilities Management
27,Finance
28,Food and Beverage
29,Government
30,Health Care
31,Hospitality
32,Human Resources
33,Information Technology
34,Insurance
35,Law Enforcement
36,Legal
37,Logistics
38,Maintenance
39,Management
40,Manufacturing
41,Marine
42,Maritime
43,Marketing
44,Media and Communications
45,Operations
46,Pharmaceutical
47,Product Management
48,Project Management
49,Public Administration
50,Public Relations
51,Quality Assurance
52,Real Estate
53,Recruiting
54,Repair and Maintenance
55,Research
56,Retail
57,Sales
58,Security
59,Social Services
60,Software Development
61,Sports and Recreation
62,Strategy and Transformation
63,Supply Chain
64,Trade
65,Transportation
66,Utilities
