Job ID,title,expires_at,salary_min,salary_max,description,industry
101247,Senior Executive Assistant to the Department Director,2026-05-22T00:00:00.000000Z,99785.95,163629.72,Job ID: 101247 - Bachelor's degree.  A minimum of four years of administrative experience is required. Additional administrative experience may substitute for the required education on a year-for-year basis.,Administrative Support
100764,Senior Web Designer (Aviation),2026-05-19T00:00:00.000000Z,81286.2,135991.33,Job ID: 100764 - Completion of 60 semester credits to include 15 semester credits in a computer related field or possess a Microsoft Certified Professional-Site Building certification. Three years of programming or web design experience are required. Additional programming or web design experience may substitute for the required education on a year-for-year basis.,Design
100852,Airport Videographer/Editor,2026-05-20T00:00:00.000000Z,53138.53,93994.22,"Job ID: 100852 - Associate's degree in Radio/Television, Communications, or related field.  Two years of experience in television or video production to include experience in field camera operations and Media 100 editing are required. Additional experience may substitute for the required education on a year-for-year basis.",Media and Communications
101102,Airport Administrative Secretary,2026-05-21T00:00:00.000000Z,38767.2,71922.39,"Job ID: 101102 - High school diploma or GED. Three years of secretarial or related word processing experience are required.  Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such other procedures as may be mandated by federal law. The security clearance required by federal law is a continuing condition of employment.",Administrative Support
100854,Aviation Property Manager (Real Estate Division),2026-05-22T00:00:00.000000Z,58272.01,103371.49,"Job ID: 100854 - Bachelor s degree. One year of experience in the management of commercial properties, facilities, and/or contract administration is required. Additional experience in the management of commercial properties, facilities, and/or contract administration may substitute for the required education on a year-for-year basis. Must possess a valid State of Florida driver s license. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such other procedures as may be mandated by federal law. The security clearance required by federal law is a continuing condition of employment.",Real Estate
101075,Assistant Director Aviation,2026-05-25T00:00:00.000000Z,133660.42,347203.65,"Job ID: 101075 - Bachelor s degree. Six years of progressively responsible managerial experience in public safety and security at a municipal airport or aviation authority, to include supervisory experience, is required. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including, but not limited to, fingerprint checks, employment verification, and such other procedures as may be mandated by Federal law. The security clearance required by the Federal law is a continuing condition of employment.  Experience at a Large-hub, Category X airport is preferred.",Aviation
101090,Aviation Cybersecurity Officer,2026-05-25T00:00:00.000000Z,110955.67,189644.5,"Job ID: 101090 - Bachelor s degree in computer science, cybersecurity, information technology, or related field. Eight years of experience in cybersecurity or information security including supervisory experience is required.  Additional related work experience in cybersecurity or information security including supervisory experience may substitute for the required college education on a year-for-year basis. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such other procedures as may be mandated by federal law. The security clearance required by the federal law is a continuing condition of employment.",Cyber Security
101104,Airport Lighting Technician,2026-05-26T00:00:00.000000Z,61252.81,93800.1,"Job ID: 101104 - Must possess a Miami-Dade County Certificate of Competency as a Journeyman Electrician. Must have own tools and the ability to lift and handle equipment weighing up to 50 pounds. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such procedures as may be mandated by federal law. The security clearance required by federal law is a continuing condition of employment.  Must be able to work a permanent or rotating shift to include nights, weekends and holidays.",Utilities
101094,Airport Risk Management Insurance Representative,2026-05-26T00:00:00.000000Z,41321.07,68050.17,Job ID: 101094 - High school diploma or GED. One year of experience in an insurance environment is required. Completion of college coursework may substitute for the required work experience on a year-for-year basis.,Insurance
101167,Engineer 4 (Aviation),2026-05-27T00:00:00.000000Z,99366.84,172441.99,"Job ID: 101167 - Bachelors degree in Engineering and seven years of engineering experience are required. A State of Florida Professional Engineer license or Bachelors degree in Engineering Technology awarded or having been enrolled prior to July 1, 1979 and proof of having passed the fundamental test for the State of Florida Professional Engineer license may substitute for the required education.",Engineering
101240,Airport Maintenance Mechanic,2026-05-29T00:00:00.000000Z,44363.75,67130.4,"Job ID: 101240 - Eighth grade. One year of skilled maintenance and repair experience in plumbing, electrical, carpentry, air-conditioning, loading bridges, industrial machinery and/or baggage conveyors repair are required. Must possess a Driver license. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such other procedures as may be mandated by federal law. The security clearance required by the federal law is a continuing condition of employment.",Maintenance
101077,"Office of the Commission
 Auditor – Research Analyst",2026-05-25T00:00:00.000000Z,64000,78000,Job ID: 101077 - Bachelor's degree and three years of relevant professional experience performing research and analyses for a legislative body or other relative experience is required.,Research
101076,Office of the Commission Auditor - Financial Manager,2026-05-25T00:00:00.000000Z,95000,135000,"Job ID: 101076 - Bachelor's degree in Accounting, Finance, Public Administration, Business Administration, or related field. A minimum of five to ten years of professional experience to include financial analysis, developing and monitoring budgets or performing related fiscal or management analysis is required. A Master's degree may substitute for one year of the required experience. Preferences: Strong analytical and technical skills. Extensive knowledge in financial reporting, analysis, modeling, budgeting, and forecasting. Proven capability to harness structured and unstructured data. Proficiency in MS Excel (Creating advanced formulas, Pivot Tables, and modeling), working knowledge of data visualization platforms (Power BI preferred, Tableau).",Finance
101056,Information Technology Senior Systems Administrator (Network & Transport Division),2026-05-26T00:00:00.000000Z,96561.5,161053.46,"Job ID: 101056 - Bachelor's degree. Six years of experience in information technology systems administration including creating, analyzing, and managing information technology systems are required. Additional related work experience in information technology systems administration including creating, analyzing, and managing information technology systems may substitute for the required college education on a year-for-year basis.",Information Technology
101015,Information & Technology Systems Administrator (Enterprise Data Center Division),2026-06-02T00:00:00.000000Z,83725.44,140071.49,"Job ID: 101015 - Bachelors degree. Three years of experience in information technology systems administration including creating, analyzing, and managing information technology systems are required. Additional related work experience in information technology systems administration including creating, analyzing, and managing information technology systems may substitute for the required college education on a year-for-year basis.",Information Technology
101009,Information Technology Senior Telecommunications Technician (Radio Communication Services Division),2026-06-12T00:00:00.000000Z,67130.37,103067.91,"Job ID: 101009 - Associates degree. Five years of experience in the repair, troubleshooting, testing, installation and maintenance of voice, data, and wireless communication equipment is required. A high school diploma or GED along with additional experience in the repair, troubleshooting, testing, installation and maintenance of voice, data, and wireless communication equipment may substitute for the required education on a year-for-year basis. Must possess a valid
 driver license.",Information Technology
101083,Mental Health Assessment Spec- Head Start (Community Services Department),2026-05-31T00:00:00.000000Z,58272.01,103371.49,"Job ID: 101083 - Master's degree in Social Work, Psychology, Counseling or related field. One year of clinical casework experience is required. Must possess a State of Florida license as a Clinical Social Worker, Mental Health Counselor, Clinical Psychologist, or Physician.",Social Services
96482,Certified Correctional Officer,2026-06-05T00:00:00.000000Z,47262.11,85991.85,"Job ID: 96482 - High School Diploma or General Education Diploma (GED). Must be a State of Florida Certified Correctional Officer or must possess a Certificate of Completion from a Correctional Officer Basic Recruit program issued by an accredited school of criminal justice in Florida, or must be currently enrolled in a Florida Correctional Officer Basic Recruit Program and pass the State Correctional Officer Certification Examination prior to being hired. Must possess and maintain a valid Driver's License. Must pass the Physical Abilities Test (PAT) administered by the Assessment Center at Miami-Dade College",Law Enforcement
96481,Non-Correctional Officer (Trainee),2026-06-05T00:00:00.000000Z,45222.49,82149.83,"Job ID: 96481 - Non-certified Correctional Officer (Trainees): $45,222.49 Annually. - Must be a least 18 years of age (19 years of age by the time of certification) - Must be a United States Citizen - Must possess and maintain a valid Driver's License - High School Diploma or General Education Diploma (GED) - Must have a passing score on the Florida Basic Abilities Test (FBAT) or on the Criminal Justice Basic Abilities Test (CJBAT) for Correctional Officers - Must be able to certify as a Correctional Officer under Florida Statute 0943.13.Must pass the Physical Abilities Test (PAT) administered by the Assessment Center at Miami-Dade College",Law Enforcement
