title,posted_at,expires_at,created_at,salary_min,salary_max,industry_id,description,company_name,location,job_type,application_url,is_active,salary_period,is_bulk_upload,remote_type,approval_status,experience_level,contact_email,company_id,category,qualifications,responsibilities,is_featured,verified,applicant_count,outbound_clicks,applications_count,keywords,external_clicks
Senior Executive Assistant to the Department Director,2026-05-18T22:46:46.856962Z,2026-05-22T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,99785.95,163629.72,3,Job ID: 101247 - Bachelor's degree.  A minimum of four years of administrative experience is required. Additional administrative experience may substitute for the required education on a year-for-year basis.,Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Aviation Cybersecurity Officer,2026-05-18T22:46:46.856962Z,2026-05-25T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,110955.67,189644.5,18,"Job ID: 101090 - Bachelor s degree in computer science, cybersecurity, information technology, or related field. Eight years of experience in cybersecurity or information security including supervisory experience is required.  Additional related work experience in cybersecurity or information security including supervisory experience may substitute for the required college education on a year-for-year basis. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such other procedures as may be mandated by federal law. The security clearance required by the federal law is a continuing condition of employment.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Airport Lighting Technician,2026-05-18T22:46:46.856962Z,2026-05-26T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,61252.81,93800.1,66,"Job ID: 101104 - Must possess a Miami-Dade County Certificate of Competency as a Journeyman Electrician. Must have own tools and the ability to lift and handle equipment weighing up to 50 pounds. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such procedures as may be mandated by federal law. The security clearance required by federal law is a continuing condition of employment.  Must be able to work a permanent or rotating shift to include nights, weekends and holidays.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Airport Risk Management Insurance Representative,2026-05-18T22:46:46.856962Z,2026-05-26T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,41321.07,68050.17,34,Job ID: 101094 - High school diploma or GED. One year of experience in an insurance environment is required. Completion of college coursework may substitute for the required work experience on a year-for-year basis.,Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Engineer 4 (Aviation),2026-05-18T22:46:46.856962Z,2026-05-27T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,99366.84,172441.99,23,"Job ID: 101167 - Bachelors degree in Engineering and seven years of engineering experience are required. A State of Florida Professional Engineer license or Bachelors degree in Engineering Technology awarded or having been enrolled prior to July 1, 1979 and proof of having passed the fundamental test for the State of Florida Professional Engineer license may substitute for the required education.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Airport Maintenance Mechanic,2026-05-18T22:46:46.856962Z,2026-05-29T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,44363.75,67130.4,38,"Job ID: 101240 - Eighth grade. One year of skilled maintenance and repair experience in plumbing, electrical, carpentry, air-conditioning, loading bridges, industrial machinery and/or baggage conveyors repair are required. Must possess a Driver license. Applicants qualifying for employment with the Miami-Dade Aviation Department will be subject to extensive security screening, including but not limited to fingerprint checks, employment verification and such other procedures as may be mandated by federal law. The security clearance required by the federal law is a continuing condition of employment.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
"Office of the Commission
 Auditor – Research Analyst",2026-05-18T22:46:46.856962Z,2026-05-25T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,64000.0,78000.0,55,Job ID: 101077 - Bachelor's degree and three years of relevant professional experience performing research and analyses for a legislative body or other relative experience is required.,Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Office of the Commission Auditor - Financial Manager,2026-05-18T22:46:46.856962Z,2026-05-25T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,95000.0,135000.0,27,"Job ID: 101076 - Bachelor's degree in Accounting, Finance, Public Administration, Business Administration, or related field. A minimum of five to ten years of professional experience to include financial analysis, developing and monitoring budgets or performing related fiscal or management analysis is required. A Master's degree may substitute for one year of the required experience. Preferences: Strong analytical and technical skills. Extensive knowledge in financial reporting, analysis, modeling, budgeting, and forecasting. Proven capability to harness structured and unstructured data. Proficiency in MS Excel (Creating advanced formulas, Pivot Tables, and modeling), working knowledge of data visualization platforms (Power BI preferred, Tableau).",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Information Technology Senior Systems Administrator (Network & Transport Division),2026-05-18T22:46:46.856962Z,2026-05-26T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,96561.5,161053.46,33,"Job ID: 101056 - Bachelor's degree. Six years of experience in information technology systems administration including creating, analyzing, and managing information technology systems are required. Additional related work experience in information technology systems administration including creating, analyzing, and managing information technology systems may substitute for the required college education on a year-for-year basis.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
Information & Technology Systems Administrator (Enterprise Data Center Division),2026-05-18T22:46:46.856962Z,2026-06-02T00:00:00.000000Z,2026-05-18T22:46:46.856962Z,83725.44,140071.49,33,"Job ID: 101015 - Bachelors degree. Three years of experience in information technology systems administration including creating, analyzing, and managing information technology systems are required. Additional related work experience in information technology systems administration including creating, analyzing, and managing information technology systems may substitute for the required college education on a year-for-year basis.",Miami-Dade County,"Miami, FL",Full-time,https://www.miamidade.gov/global/humanresources/jobs/home.page,TRUE,year,TRUE,,Approved,,,d1dd1eb7-2686-4a8a-92be-3bf2e2e51cce,,,,,,0,0,0,,0
